round,phase,num_labeled_nodes,accuracy
0,TEST,7,0.31578946113586426
1,TEST,8,0.4736842215061188
2,TEST,9,0.42105263471603394
3,TEST,10,0.31578946113586426
4,TEST,11,0.7368420958518982
5,TEST,12,0.5789473652839661
6,TEST,13,0.6842105388641357
7,TEST,14,0.7894737124443054
8,TEST,15,0.8421052694320679
9,TEST,16,0.7894737124443054
10,TEST,17,0.7894737124443054
11,TEST,18,0.5789473652839661
12,TEST,19,0.7894737124443054
13,TEST,20,0.7894737124443054
14,TEST,21,0.7894737124443054
15,TEST,22,0.5789473652839661
16,TEST,23,0.7894737124443054
17,TEST,24,0.8421052694320679
18,TEST,25,0.8421052694320679
19,TEST,26,0.7894737124443054
20,TEST,27,0.8421052694320679
21,TEST,28,0.6315789222717285
22,TEST,29,0.8421052694320679
23,TEST,30,0.8421052694320679
24,TEST,31,0.8421052694320679
25,TEST,32,0.8421052694320679
26,TEST,33,0.8421052694320679
27,TEST,34,0.8421052694320679
28,TEST,35,0.8421052694320679
29,TEST,36,0.8421052694320679
30,TEST,37,0.8421052694320679
31,TEST,38,0.8421052694320679
32,TEST,39,0.8421052694320679
33,TEST,40,0.8421052694320679
34,TEST,41,0.8421052694320679
