round,phase,num_labeled_nodes,accuracy
0,TEST,1,0.42105263471603394
1,TEST,2,0.42105263471603394
2,TEST,3,0.5789473652839661
3,TEST,4,0.4736842215061188
4,TEST,5,0.5263158082962036
5,TEST,6,0.4736842215061188
6,TEST,7,0.5789473652839661
7,TEST,8,0.6315789222717285
8,TEST,9,0.5789473652839661
9,TEST,10,0.6315789222717285
10,TEST,11,0.5263158082962036
11,TEST,12,0.5789473652839661
12,TEST,13,0.42105263471603394
13,TEST,14,0.6315789222717285
14,TEST,15,0.4736842215061188
15,TEST,16,0.5789473652839661
16,TEST,17,0.4736842215061188
17,TEST,18,0.5789473652839661
18,TEST,19,0.7894737124443054
19,TEST,20,0.5789473652839661
20,TEST,21,0.5789473652839661
21,TEST,22,0.6842105388641357
22,TEST,23,0.5263158082962036
23,TEST,24,0.5263158082962036
24,TEST,25,0.6842105388641357
25,TEST,26,0.6315789222717285
26,TEST,27,0.6842105388641357
27,TEST,28,0.8421052694320679
28,TEST,29,0.6842105388641357
29,TEST,30,0.6842105388641357
30,TEST,31,0.6842105388641357
31,TEST,32,0.6842105388641357
32,TEST,33,0.6842105388641357
33,TEST,34,0.6842105388641357
34,TEST,35,0.6842105388641357
