round,phase,num_labeled_nodes,accuracy
0,TEST,1,0.0
1,TEST,2,0.10526315867900848
2,TEST,3,0.2631579041481018
3,TEST,4,0.2631579041481018
4,TEST,5,0.15789473056793213
5,TEST,6,0.3684210479259491
6,TEST,7,0.3684210479259491
7,TEST,8,0.42105263471603394
8,TEST,9,0.3684210479259491
9,TEST,10,0.3684210479259491
10,TEST,11,0.21052631735801697
11,TEST,12,0.3684210479259491
12,TEST,13,0.2631579041481018
13,TEST,14,0.3684210479259491
14,TEST,15,0.31578946113586426
15,TEST,16,0.3684210479259491
16,TEST,17,0.31578946113586426
17,TEST,18,0.3684210479259491
18,TEST,19,0.3684210479259491
19,TEST,20,0.42105263471603394
20,TEST,21,0.4736842215061188
21,TEST,22,0.31578946113586426
22,TEST,23,0.4736842215061188
23,TEST,24,0.42105263471603394
24,TEST,25,0.31578946113586426
25,TEST,26,0.42105263471603394
26,TEST,27,0.31578946113586426
27,TEST,28,0.31578946113586426
28,TEST,29,0.42105263471603394
29,TEST,30,0.31578946113586426
30,TEST,31,0.42105263471603394
31,TEST,32,0.3684210479259491
32,TEST,33,0.3684210479259491
33,TEST,34,0.4736842215061188
34,TEST,35,0.3684210479259491
