round,phase,num_labeled_nodes,accuracy
0,TEST,1,0.2631579041481018
1,TEST,2,0.3684210479259491
2,TEST,3,0.4736842215061188
3,TEST,4,0.42105263471603394
4,TEST,5,0.4736842215061188
5,TEST,6,0.5789473652839661
6,TEST,7,0.42105263471603394
7,TEST,8,0.4736842215061188
8,TEST,9,0.4736842215061188
9,TEST,10,0.5263158082962036
10,TEST,11,0.4736842215061188
11,TEST,12,0.3684210479259491
12,TEST,13,0.4736842215061188
13,TEST,14,0.31578946113586426
14,TEST,15,0.5263158082962036
15,TEST,16,0.4736842215061188
16,TEST,17,0.5263158082962036
17,TEST,18,0.42105263471603394
18,TEST,19,0.42105263471603394
19,TEST,20,0.42105263471603394
20,TEST,21,0.5789473652839661
21,TEST,22,0.4736842215061188
22,TEST,23,0.4736842215061188
23,TEST,24,0.5789473652839661
24,TEST,25,0.5789473652839661
25,TEST,26,0.42105263471603394
26,TEST,27,0.4736842215061188
27,TEST,28,0.5263158082962036
28,TEST,29,0.4736842215061188
29,TEST,30,0.5263158082962036
30,TEST,31,0.5263158082962036
31,TEST,32,0.5263158082962036
32,TEST,33,0.5263158082962036
33,TEST,34,0.5789473652839661
34,TEST,35,0.6315789222717285
