round,phase,num_labeled_nodes,accuracy
0,TEST,7,0.5263158082962036
1,TEST,8,0.5263158082962036
2,TEST,9,0.4736842215061188
3,TEST,10,0.5263158082962036
4,TEST,11,0.5263158082962036
5,TEST,12,0.4736842215061188
6,TEST,13,0.42105263471603394
7,TEST,14,0.5263158082962036
8,TEST,15,0.5789473652839661
9,TEST,16,0.4736842215061188
10,TEST,17,0.5263158082962036
11,TEST,18,0.5263158082962036
12,TEST,19,0.5789473652839661
13,TEST,20,0.5263158082962036
14,TEST,21,0.5789473652839661
15,TEST,22,0.5789473652839661
16,TEST,23,0.5263158082962036
17,TEST,24,0.5789473652839661
18,TEST,25,0.5789473652839661
19,TEST,26,0.4736842215061188
20,TEST,27,0.6315789222717285
21,TEST,28,0.4736842215061188
22,TEST,29,0.6315789222717285
23,TEST,30,0.6315789222717285
24,TEST,31,0.5789473652839661
25,TEST,32,0.5789473652839661
26,TEST,33,0.5789473652839661
27,TEST,34,0.6315789222717285
28,TEST,35,0.4736842215061188
29,TEST,36,0.4736842215061188
30,TEST,37,0.6315789222717285
31,TEST,38,0.6315789222717285
32,TEST,39,0.4736842215061188
33,TEST,40,0.5263158082962036
34,TEST,41,0.5263158082962036
