round,phase,num_labeled_nodes,accuracy
0,TEST,7,0.15789473056793213
1,TEST,8,0.15789473056793213
2,TEST,9,0.2631579041481018
3,TEST,10,0.3684210479259491
4,TEST,11,0.3684210479259491
5,TEST,12,0.3684210479259491
6,TEST,13,0.15789473056793213
7,TEST,14,0.2631579041481018
8,TEST,15,0.3684210479259491
9,TEST,16,0.21052631735801697
10,TEST,17,0.3684210479259491
11,TEST,18,0.3684210479259491
12,TEST,19,0.31578946113586426
13,TEST,20,0.21052631735801697
14,TEST,21,0.21052631735801697
15,TEST,22,0.21052631735801697
16,TEST,23,0.42105263471603394
17,TEST,24,0.42105263471603394
18,TEST,25,0.3684210479259491
19,TEST,26,0.31578946113586426
20,TEST,27,0.3684210479259491
21,TEST,28,0.31578946113586426
22,TEST,29,0.3684210479259491
23,TEST,30,0.42105263471603394
24,TEST,31,0.3684210479259491
25,TEST,32,0.42105263471603394
26,TEST,33,0.42105263471603394
27,TEST,34,0.31578946113586426
28,TEST,35,0.31578946113586426
29,TEST,36,0.42105263471603394
30,TEST,37,0.42105263471603394
31,TEST,38,0.3684210479259491
32,TEST,39,0.3684210479259491
33,TEST,40,0.3684210479259491
34,TEST,41,0.31578946113586426
