round,phase,num_labeled_nodes,accuracy
0,TEST,7,0.5789473652839661
1,TEST,8,0.5263158082962036
2,TEST,9,0.4736842215061188
3,TEST,10,0.42105263471603394
4,TEST,11,0.31578946113586426
5,TEST,12,0.3684210479259491
6,TEST,13,0.4736842215061188
7,TEST,14,0.42105263471603394
8,TEST,15,0.3684210479259491
9,TEST,16,0.3684210479259491
10,TEST,17,0.6315789222717285
11,TEST,18,0.6315789222717285
12,TEST,19,0.6842105388641357
13,TEST,20,0.5789473652839661
14,TEST,21,0.3684210479259491
15,TEST,22,0.31578946113586426
16,TEST,23,0.3684210479259491
17,TEST,24,0.4736842215061188
18,TEST,25,0.6842105388641357
19,TEST,26,0.5263158082962036
20,TEST,27,0.6315789222717285
21,TEST,28,0.6315789222717285
22,TEST,29,0.5263158082962036
23,TEST,30,0.5263158082962036
24,TEST,31,0.7368420958518982
25,TEST,32,0.7368420958518982
26,TEST,33,0.5789473652839661
27,TEST,34,0.6842105388641357
28,TEST,35,0.6315789222717285
29,TEST,36,0.7894737124443054
30,TEST,37,0.7894737124443054
31,TEST,38,0.6315789222717285
32,TEST,39,0.7894737124443054
33,TEST,40,0.7894737124443054
34,TEST,41,0.7368420958518982
