round,phase,num_labeled_nodes,accuracy
0,TEST,7,0.31578946113586426
1,TEST,8,0.2631579041481018
2,TEST,9,0.2631579041481018
3,TEST,10,0.21052631735801697
4,TEST,11,0.42105263471603394
5,TEST,12,0.31578946113586426
6,TEST,13,0.3684210479259491
7,TEST,14,0.3684210479259491
8,TEST,15,0.31578946113586426
9,TEST,16,0.3684210479259491
10,TEST,17,0.31578946113586426
11,TEST,18,0.3684210479259491
12,TEST,19,0.42105263471603394
13,TEST,20,0.3684210479259491
14,TEST,21,0.42105263471603394
15,TEST,22,0.31578946113586426
16,TEST,23,0.3684210479259491
17,TEST,24,0.42105263471603394
18,TEST,25,0.42105263471603394
19,TEST,26,0.4736842215061188
20,TEST,27,0.4736842215061188
21,TEST,28,0.31578946113586426
22,TEST,29,0.42105263471603394
23,TEST,30,0.4736842215061188
24,TEST,31,0.4736842215061188
25,TEST,32,0.4736842215061188
26,TEST,33,0.42105263471603394
27,TEST,34,0.42105263471603394
28,TEST,35,0.4736842215061188
29,TEST,36,0.4736842215061188
30,TEST,37,0.4736842215061188
31,TEST,38,0.5789473652839661
32,TEST,39,0.5789473652839661
33,TEST,40,0.5789473652839661
34,TEST,41,0.5263158082962036
