round,phase,num_labeled_nodes,accuracy
0,TEST,1,0.3684210479259491
1,TEST,2,0.4736842215061188
2,TEST,3,0.42105263471603394
3,TEST,4,0.4736842215061188
4,TEST,5,0.42105263471603394
5,TEST,6,0.31578946113586426
6,TEST,7,0.31578946113586426
7,TEST,8,0.3684210479259491
8,TEST,9,0.4736842215061188
9,TEST,10,0.31578946113586426
10,TEST,11,0.3684210479259491
11,TEST,12,0.31578946113586426
12,TEST,13,0.3684210479259491
13,TEST,14,0.31578946113586426
14,TEST,15,0.31578946113586426
15,TEST,16,0.5263158082962036
16,TEST,17,0.42105263471603394
17,TEST,18,0.5789473652839661
18,TEST,19,0.42105263471603394
19,TEST,20,0.42105263471603394
20,TEST,21,0.42105263471603394
21,TEST,22,0.42105263471603394
22,TEST,23,0.4736842215061188
23,TEST,24,0.4736842215061188
24,TEST,25,0.5263158082962036
25,TEST,26,0.31578946113586426
26,TEST,27,0.31578946113586426
27,TEST,28,0.5789473652839661
28,TEST,29,0.42105263471603394
29,TEST,30,0.42105263471603394
30,TEST,31,0.42105263471603394
31,TEST,32,0.42105263471603394
32,TEST,33,0.42105263471603394
33,TEST,34,0.4736842215061188
34,TEST,35,0.4736842215061188
