round,phase,num_labeled_nodes,accuracy
0,TEST,1,0.3684210479259491
1,TEST,2,0.4736842215061188
2,TEST,3,0.5263158082962036
3,TEST,4,0.42105263471603394
4,TEST,5,0.4736842215061188
5,TEST,6,0.4736842215061188
6,TEST,7,0.4736842215061188
7,TEST,8,0.5263158082962036
8,TEST,9,0.5263158082962036
9,TEST,10,0.4736842215061188
10,TEST,11,0.5263158082962036
11,TEST,12,0.4736842215061188
12,TEST,13,0.5263158082962036
13,TEST,14,0.4736842215061188
14,TEST,15,0.5263158082962036
15,TEST,16,0.3684210479259491
16,TEST,17,0.5263158082962036
17,TEST,18,0.5263158082962036
18,TEST,19,0.6842105388641357
19,TEST,20,0.5263158082962036
20,TEST,21,0.42105263471603394
21,TEST,22,0.4736842215061188
22,TEST,23,0.42105263471603394
23,TEST,24,0.3684210479259491
24,TEST,25,0.5263158082962036
25,TEST,26,0.31578946113586426
26,TEST,27,0.5789473652839661
27,TEST,28,0.3684210479259491
28,TEST,29,0.21052631735801697
29,TEST,30,0.21052631735801697
30,TEST,31,0.31578946113586426
31,TEST,32,0.5263158082962036
32,TEST,33,0.5263158082962036
33,TEST,34,0.42105263471603394
34,TEST,35,0.3684210479259491
