round,phase,num_labeled_nodes,accuracy
0,TEST,1,0.31578946113586426
1,TEST,2,0.31578946113586426
2,TEST,3,0.5263158082962036
3,TEST,4,0.5263158082962036
4,TEST,5,0.42105263471603394
5,TEST,6,0.4736842215061188
6,TEST,7,0.6842105388641357
7,TEST,8,0.5263158082962036
8,TEST,9,0.6842105388641357
9,TEST,10,0.4736842215061188
10,TEST,11,0.5789473652839661
11,TEST,12,0.6315789222717285
12,TEST,13,0.6842105388641357
13,TEST,14,0.6315789222717285
14,TEST,15,0.7894737124443054
15,TEST,16,0.7894737124443054
16,TEST,17,0.6315789222717285
17,TEST,18,0.5789473652839661
18,TEST,19,0.6842105388641357
19,TEST,20,0.7894737124443054
20,TEST,21,0.4736842215061188
21,TEST,22,0.7368420958518982
22,TEST,23,0.8421052694320679
23,TEST,24,0.8421052694320679
24,TEST,25,0.7894737124443054
25,TEST,26,0.6315789222717285
26,TEST,27,0.7894737124443054
27,TEST,28,0.7894737124443054
28,TEST,29,0.7368420958518982
29,TEST,30,0.7894737124443054
30,TEST,31,0.6842105388641357
31,TEST,32,0.6315789222717285
32,TEST,33,0.6842105388641357
33,TEST,34,0.7894737124443054
34,TEST,35,0.7894737124443054
