round,phase,num_labeled_nodes,accuracy
0,TEST,1,0.31578946113586426
1,TEST,2,0.42105263471603394
2,TEST,3,0.42105263471603394
3,TEST,4,0.42105263471603394
4,TEST,5,0.31578946113586426
5,TEST,6,0.3684210479259491
6,TEST,7,0.2631579041481018
7,TEST,8,0.3684210479259491
8,TEST,9,0.31578946113586426
9,TEST,10,0.3684210479259491
10,TEST,11,0.42105263471603394
11,TEST,12,0.21052631735801697
12,TEST,13,0.42105263471603394
13,TEST,14,0.42105263471603394
14,TEST,15,0.5263158082962036
15,TEST,16,0.4736842215061188
16,TEST,17,0.4736842215061188
17,TEST,18,0.4736842215061188
18,TEST,19,0.4736842215061188
19,TEST,20,0.4736842215061188
20,TEST,21,0.2631579041481018
21,TEST,22,0.42105263471603394
22,TEST,23,0.2631579041481018
23,TEST,24,0.3684210479259491
24,TEST,25,0.31578946113586426
25,TEST,26,0.31578946113586426
26,TEST,27,0.3684210479259491
27,TEST,28,0.31578946113586426
28,TEST,29,0.3684210479259491
29,TEST,30,0.3684210479259491
30,TEST,31,0.3684210479259491
31,TEST,32,0.4736842215061188
32,TEST,33,0.5263158082962036
33,TEST,34,0.5263158082962036
34,TEST,35,0.5263158082962036
