round,phase,num_labeled_nodes,accuracy
0,TEST,7,0.10526315867900848
1,TEST,8,0.10526315867900848
2,TEST,9,0.10526315867900848
3,TEST,10,0.10526315867900848
4,TEST,11,0.15789473056793213
5,TEST,12,0.15789473056793213
6,TEST,13,0.15789473056793213
7,TEST,14,0.15789473056793213
8,TEST,15,0.15789473056793213
9,TEST,16,0.15789473056793213
10,TEST,17,0.15789473056793213
11,TEST,18,0.10526315867900848
12,TEST,19,0.10526315867900848
13,TEST,20,0.10526315867900848
14,TEST,21,0.15789473056793213
15,TEST,22,0.15789473056793213
16,TEST,23,0.10526315867900848
17,TEST,24,0.15789473056793213
18,TEST,25,0.15789473056793213
19,TEST,26,0.10526315867900848
