round,phase,num_labeled_nodes,accuracy
0,TEST,7,0.3684210479259491
1,TEST,8,0.42105263471603394
2,TEST,9,0.42105263471603394
3,TEST,10,0.3684210479259491
4,TEST,11,0.3684210479259491
5,TEST,12,0.3684210479259491
6,TEST,13,0.3684210479259491
7,TEST,14,0.3684210479259491
8,TEST,15,0.31578946113586426
9,TEST,16,0.31578946113586426
10,TEST,17,0.31578946113586426
11,TEST,18,0.31578946113586426
12,TEST,19,0.31578946113586426
13,TEST,20,0.3684210479259491
14,TEST,21,0.3684210479259491
15,TEST,22,0.42105263471603394
16,TEST,23,0.42105263471603394
17,TEST,24,0.42105263471603394
18,TEST,25,0.42105263471603394
19,TEST,26,0.42105263471603394
