round,phase,num_labeled_nodes,accuracy
0,TEST,7,0.6842105388641357
1,TEST,8,0.7368420958518982
2,TEST,9,0.8421052694320679
3,TEST,10,0.7368420958518982
4,TEST,11,0.6842105388641357
5,TEST,12,0.7368420958518982
6,TEST,13,0.7368420958518982
7,TEST,14,0.7368420958518982
8,TEST,15,0.8947368264198303
9,TEST,16,0.8947368264198303
10,TEST,17,0.8947368264198303
11,TEST,18,0.8421052694320679
12,TEST,19,0.8421052694320679
13,TEST,20,0.8421052694320679
14,TEST,21,0.8421052694320679
15,TEST,22,0.8421052694320679
16,TEST,23,0.8421052694320679
17,TEST,24,0.7894737124443054
18,TEST,25,0.8421052694320679
19,TEST,26,0.8421052694320679
20,TEST,27,0.8421052694320679
21,TEST,28,0.8421052694320679
22,TEST,29,0.8421052694320679
23,TEST,30,0.8421052694320679
24,TEST,31,0.8421052694320679
25,TEST,32,0.8421052694320679
26,TEST,33,0.8421052694320679
27,TEST,34,0.8421052694320679
28,TEST,35,0.8421052694320679
29,TEST,36,0.8421052694320679
