round,phase,num_labeled_nodes,accuracy
0,TEST,7,0.3684210479259491
1,TEST,8,0.3684210479259491
2,TEST,9,0.3684210479259491
3,TEST,10,0.3684210479259491
4,TEST,11,0.3684210479259491
5,TEST,12,0.3684210479259491
6,TEST,13,0.3684210479259491
7,TEST,14,0.3684210479259491
8,TEST,15,0.3684210479259491
9,TEST,16,0.3684210479259491
10,TEST,17,0.42105263471603394
11,TEST,18,0.5263158082962036
12,TEST,19,0.5263158082962036
13,TEST,20,0.5263158082962036
14,TEST,21,0.5263158082962036
15,TEST,22,0.4736842215061188
16,TEST,23,0.4736842215061188
17,TEST,24,0.5263158082962036
18,TEST,25,0.4736842215061188
19,TEST,26,0.4736842215061188
20,TEST,27,0.4736842215061188
21,TEST,28,0.4736842215061188
22,TEST,29,0.4736842215061188
23,TEST,30,0.4736842215061188
24,TEST,31,0.4736842215061188
25,TEST,32,0.4736842215061188
26,TEST,33,0.4736842215061188
27,TEST,34,0.4736842215061188
28,TEST,35,0.42105263471603394
29,TEST,36,0.4736842215061188
