round,phase,num_labeled_nodes,accuracy
0,TEST,7,0.3684210479259491
1,TEST,8,0.42105263471603394
2,TEST,9,0.42105263471603394
3,TEST,10,0.4736842215061188
4,TEST,11,0.4736842215061188
5,TEST,12,0.5263158082962036
6,TEST,13,0.6315789222717285
7,TEST,14,0.6315789222717285
8,TEST,15,0.6315789222717285
9,TEST,16,0.6842105388641357
10,TEST,17,0.6842105388641357
11,TEST,18,0.6842105388641357
12,TEST,19,0.6842105388641357
13,TEST,20,0.7368420958518982
14,TEST,21,0.7368420958518982
15,TEST,22,0.6842105388641357
16,TEST,23,0.6842105388641357
17,TEST,24,0.6842105388641357
18,TEST,25,0.6842105388641357
19,TEST,26,0.6842105388641357
20,TEST,27,0.6842105388641357
21,TEST,28,0.6842105388641357
22,TEST,29,0.6842105388641357
23,TEST,30,0.6842105388641357
24,TEST,31,0.6842105388641357
25,TEST,32,0.6842105388641357
26,TEST,33,0.6842105388641357
27,TEST,34,0.6842105388641357
28,TEST,35,0.6842105388641357
29,TEST,36,0.6842105388641357
